feature,shap_importance
iv_zscore,0.5665732
iv_vs_rv,0.42302713
price_vs_sma10,0.13831894
realized_vol_30,0.12945889
realized_vol_10,0.0893477
sma10,0.07631537
skew_10d_chg3,0.07620933
skew_10d,0.06548502
price_vs_sma20,0.06506421
sma20,0.05328815
term_structure_30_10,0.043229055
skew_25d,0.040170945
hist_vol_30,0.035960034
parkinson_vol_10,0.03424091
parkinson_vol_30,0.034165096
theta,0.03275291
skew_10d_chg5,0.032702602
iv_percentile_60,0.03031586
rogers_satchell_vol_10,0.029398248
term_chg5,0.028386328
gamma,0.028289463
high,0.027942464
risk_free_rate,0.026420815
rogers_satchell_vol_30,0.024392819
rsi14,0.02285966
open,0.020896168
skew_25d_chg3,0.02034736
skew_25d_chg5,0.01990249
rogers_satchell_vol_5,0.019591117
parkinson_vol_5,0.014425503
realized_vol_20,0.013258867
low,0.011836979
delta,0.01027287
rogers_satchell_vol_20,0.009547639
returns,0.008044163
term_chg3,0.007837385
vix_proxy_chg,0.007573233
realized_vol_5,0.0063862195
parkinson_vol_20,0.006232747
vix_proxy,0.005273841
iv,0.0043041464
vega,0.0040316167
high_low_range,0.0012397858
log_returns,0.00046435866
volume_ratio,0.0
volume_mean20,0.0
market_trend,0.0
volume,0.0
